City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Kirakira,SB,81.61,broken clouds,-10.4544,161.9205,SanBiz Lodge
487,Kourou,GF,82.11,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
488,Pemangkat,ID,76.66,overcast clouds,1.1667,108.9667,Ramah Kost KITA
498,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN
507,Machilipatnam,IN,86.4,overcast clouds,16.1667,81.1333,R&B Bungalow
512,Guerrero Negro,MX,76.19,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
515,Kuala Terengganu,MY,78.75,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
518,Port Blair,IN,82.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
524,Balkanabat,TM,83.98,overcast clouds,39.5108,54.3671,Nebitchi Hotel
525,Juazeiro,BR,77.18,light rain,-9.4117,-40.4986,JB Hotel
528,Guayaramerin,BO,78.91,broken clouds,-10.8368,-65.3614,Hostal Funf
529,Kavaratti,IN,82.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
531,Perumpavur,IN,76.91,drizzle,10.1333,76.4833,Hotel Travellers Inn
532,Moose Factory,CA,77.0,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
535,Brigantine,US,78.04,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
537,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
538,Bandarbeyla,SO,76.8,scattered clouds,9.4942,50.8122,JABIR HOTEL
540,Bartica,GY,79.12,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
544,Bam,IR,82.71,clear sky,29.106,58.357,Bam Tourist Hotel
545,Humberto De Campos,BR,77.36,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
546,Puri,IN,77.52,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
548,Santa Isabel Do Rio Negro,BR,75.22,overcast clouds,-0.4139,-65.0192,Hotel GSA
550,Nara,JP,76.5,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
556,Lufilufi,WS,85.78,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
557,Jeremie,HT,82.2,overcast clouds,18.65,-74.1167,Auberge’Inn
560,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
565,Norsup,VU,78.82,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
569,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
570,Pacific Grove,US,80.46,clear sky,36.6177,-121.9166,Lovers Point Inn
572,Touros,BR,76.15,few clouds,-5.1989,-35.4608,INN NEW HORIZON
573,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
587,Flagstaff,US,83.32,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
596,Carutapera,BR,76.62,clear sky,-1.195,-46.02,Lidera
600,Barcelona,ES,79.77,few clouds,41.3888,2.159,Axel Hotel Barcelona
603,Kathu,TH,84.74,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
606,Marakkanam,IN,84.18,very heavy rain,12.2,79.95,Samvasa by the Sea
607,Barranquilla,CO,85.78,few clouds,10.9639,-74.7964,HOTEL AVANTY
613,Manggar,ID,78.31,overcast clouds,-2.8833,108.2667,Guest Hotel
